GEOID,NAME,COUNTYFP,closeness,betweenness,density,per_pover2
17031220901,2209.01,031,2.1464999736967223e-4,1643863.7405430095,2.511795886064085e-4,288
17031210602,2106.02,031,2.3607693215557196e-4,2211225.049391733,0.001514599521590108,103
17031220602,2206.02,031,2.1464999736967223e-4,1643863.7405430095,1.5712522134772967e-5,104
17031252202,2522.02,031,2.232861225848425e-4,228586.8862451828,3.169950099443647e-4,254
17031252102,2521.02,031,2.1444633622512681e-4,812162.7145979464,3.118433566172147e-4,202
17031836200,8362,031,2.1376696954123636e-4,1065778.6573746186,7.066990646439798e-4,155
17031836000,8360,031,2.3139421532244884e-4,1048795.4753759436,0.0012096640512895942,239
17031835900,8359,031,2.1464999736967223e-4,1643863.7405430095,1.5402630930234985e-4,309
17031834500,8345,031,2.1464999736967223e-4,1643863.7405430095,0.001362049094688613,272
17031834400,8344,031,2.0873025683070337e-4,960083.0552986644,1.334307684827257e-4,189
17031834300,8343,031,1.862027289859277e-4,1124283.9311130522,4.962283988647798e-5,127
17031070101,701.01,031,2.366846052267102e-4,3982823.67944371,5.219797519421725e-4,19
17031030104,301.04,031,2.1464999736967223e-4,1643863.7405430095,0.0046201077616926794,182
17031081401,814.01,031,2.4312742767670332e-4,369647.68865112227,7.909155826511693e-4,15
17031430102,4301.02,031,2.1464999736967223e-4,1643863.7405430095,0.001293332481271522,205
17031110501,1105.01,031,1.865356110388533e-4,1206470.1442767908,2.479687345617806e-4,198
17031430101,4301.01,031,2.1464999736967223e-4,1643863.7405430095,9.995074483961684e-5,208
17031252101,2521.01,031,2.0961294942625945e-4,858779.1710880739,4.0479285881033633e-4,174
17031010501,105.01,031,2.1464999736967223e-4,1643863.7405430095,0.002405905258377516,106
17031020701,207.01,031,1.972928195651762e-4,2461831.5941044437,3.5777336395227563e-4,32
17031540101,5401.01,031,1.6234549967386694e-4,767425.6279143918,6.699347168024406e-5,380
17031010201,102.01,031,1.7448496205832385e-4,352701.7379702834,4.8118379693002034e-4,239
17031440201,4402.01,031,1.9768739284169558e-4,1021233.1557968295,3.6648104618145416e-4,253
17031839000,8390,031,2.1464999736967223e-4,1643863.7405430095,3.14770062826349e-4,110
17031760801,7608.01,031,1.6019783974272913e-4,698686.5753276953,3.045645128028307e-4,27
17031834000,8340,031,1.911212020349679e-4,764156.3732101746,4.8568933276941503e-4,131
17031833900,8339,031,2.1464999736967223e-4,1643863.7405430095,7.525930818994485e-4,232
17031221000,2210,031,2.1464999736967223e-4,1643863.7405430095,0.002492572508617377,210
17031221100,2211,031,2.1464999736967223e-4,1643863.7405430095,2.636405319297272e-4,176
17031242800,2428,031,2.580774234389704e-4,1605159.2777945532,3.714175327086487e-4,30
17031242900,2429,031,2.1464999736967223e-4,1643863.7405430095,4.768152692455269e-4,410
17031243000,2430,031,2.1464999736967223e-4,1643863.7405430095,3.2340340625925887e-4,370
17031243100,2431,031,2.1464999736967223e-4,1643863.7405430095,8.368647508332454e-4,26
17031071400,714,031,2.1464999736967223e-4,1643863.7405430095,7.99998707142716e-4,60
17031243300,2433,031,2.1464999736967223e-4,1643863.7405430095,8.558871024916144e-4,30
17031243200,2432,031,2.6397906920631176e-4,2916890.568441524,8.042905089192342e-4,25
17031243400,2434,031,2.6586855927066385e-4,2494593.988680819,9.796781555751546e-4,25
17031150800,1508,031,2.0822040383618664e-4,2275293.6516413284,4.121841416513845e-4,370
17031150700,1507,031,2.1464999736967223e-4,1643863.7405430095,7.568285517304893e-4,68
17031150600,1506,031,1.946441511793684e-4,1314479.8330293212,5.578715083551099e-4,17
17031110400,1104,031,2.1464999736967223e-4,1643863.7405430095,3.145129664993393e-4,373
