GEOID,NAME,COUNTYFP,closeness,betweenness,density,per_pover2
06067008911,89.11,067,5.9327750744725e-4,591288.5162182439,4.715179458193946e-4,145
06067008913,89.13,067,5.9327750744725e-4,591288.5162182439,5.414800636424921e-5,50
06067000600,6,067,7.610432725413187e-4,894664.8206666335,5.094657982691214e-4,178
06067000700,7,067,5.9327750744725e-4,591288.5162182439,2.452347882300151e-4,173
06067000800,8,067,7.535774569492812e-4,1058141.8271279363,1.9214798186545094e-4,43
06067001200,12,067,5.9327750744725e-4,591288.5162182439,3.401988414728593e-4,83
06067001300,13,067,8.030941872183328e-4,731256.3452604171,2.6999468158403077e-4,76
06067001400,14,067,8.019221177476555e-4,1333993.7905159802,2.4684610985762094e-4,94
06067001500,15,067,7.756803145356026e-4,2063228.5780752217,6.929316504585783e-5,184
06067009503,95.03,067,5.9327750744725e-4,591288.5162182439,6.125783329267641e-5,86
06067009322,93.22,067,4.960592307941277e-4,421425.04406848515,1.8439320652840445e-5,36
06067009502,95.02,067,5.9327750744725e-4,591288.5162182439,3.4602041894394316e-6,52
06067009504,95.04,067,5.9327750744725e-4,591288.5162182439,8.712960812895842e-5,96
06067007602,76.02,067,5.9327750744725e-4,591288.5162182439,1.1245395907230908e-4,63
06067005508,55.08,067,6.011039314173654e-4,473250.2006615497,2.85345964431495e-4,105
06067003600,36,067,7.450339432726449e-4,1969859.7435355177,1.9695790883776947e-4,101
06067008912,89.12,067,5.9327750744725e-4,591288.5162182439,7.408896618442043e-5,18
06067007415,74.15,067,5.9327750744725e-4,591288.5162182439,1.3147035921627257e-4,59
06067008140,81.40,067,5.9327750744725e-4,591288.5162182439,6.333117439953608e-5,200
06067008008,80.08,067,5.9327750744725e-4,591288.5162182439,6.041731143003979e-5,11
06067009110,91.10,067,5.293527764580508e-4,309546.0403865954,4.439780742727255e-4,188
06067009005,90.05,067,5.9327750744725e-4,591288.5162182439,1.5483268311522516e-5,85
06067003501,35.01,067,7.764037163127562e-4,1790478.6092081522,2.2289559334227717e-4,140
06067009006,90.06,067,5.9327750744725e-4,591288.5162182439,5.508355895865464e-6,78
06067006004,60.04,067,5.702689810114337e-4,480832.61760841636,9.874473752102556e-5,14
06067005205,52.05,067,5.506912195598541e-4,426683.7860091352,2.487052246545538e-5,148
06067005001,50.01,067,5.368645688587306e-4,495819.76958450896,5.7425275318012976e-5,134
06067007016,70.16,067,5.299533635144627e-4,305120.8443364138,5.3630975361346255e-5,27
06067007906,79.06,067,5.9327750744725e-4,591288.5162182439,7.116475947527841e-5,204
06067009314,93.14,067,5.329161165205319e-4,507196.57860363345,1.5422916439746633e-6,55
06067008207,82.07,067,5.9327750744725e-4,591288.5162182439,3.629951045366806e-5,199
06067002500,25,067,7.843137522236663e-4,770749.2257896957,1.188648681007575e-4,6
06067009501,95.01,067,5.9327750744725e-4,591288.5162182439,3.9639365291972826e-6,129
06067009403,94.03,067,5.9327750744725e-4,591288.5162182439,2.1180990908951122e-7,187
06067007020,70.20,067,5.770736507553424e-4,195041.87097421056,5.055683685780945e-5,190
06067007102,71.02,067,4.567763372595881e-4,293111.4158198617,3.425696156763039e-5,164
06067007428,74.28,067,5.9327750744725e-4,591288.5162182439,1.3887070592790194e-4,34
06067008506,85.06,067,5.9327750744725e-4,591288.5162182439,9.551641616075908e-5,205
06067009007,90.07,067,5.9327750744725e-4,591288.5162182439,2.4216462288872043e-4,98
06067008509,85.09,067,5.9327750744725e-4,591288.5162182439,1.2547523561491994e-4,7
06067009008,90.08,067,5.9327750744725e-4,591288.5162182439,2.322309958979798e-5,112
06067009011,90.11,067,5.9327750744725e-4,591288.5162182439,1.8362905557279602e-5,183
06067009106,91.06,067,5.732770929710835e-4,474105.912931778,1.4705238796086428e-4,75
06067009103,91.03,067,5.9327750744725e-4,591288.5162182439,6.87683665089981e-5,214
06067001700,17,067,6.861482684658313e-4,794381.7211903292,1.4465443161122073e-5,111
06067007426,74.26,067,5.9327750744725e-4,591288.5162182439,2.1886949362180352e-4,102
06067001600,16,067,6.927684638324469e-4,1089989.391146612,5.018227502274149e-5,194
06067007427,74.27,067,5.9327750744725e-4,591288.5162182439,3.6526514799817896e-5,96
06067009323,93.23,067,4.938012154865306e-4,417038.6944969812,2.5845022273095952e-5,125
06067007429,74.29,067,5.9327750744725e-4,591288.5162182439,3.302673911641248e-5,100
06067009407,94.07,067,5.9327750744725e-4,591288.5162182439,4.669371261648374e-6,27
06067009107,91.07,067,5.9327750744725e-4,591288.5162182439,4.9719885845411764e-5,204
06067009622,96.22,067,5.9327750744725e-4,591288.5162182439,3.163182111361505e-5,70
06067009601,96.01,067,5.505605453178736e-4,511224.7509696268,7.991086863732324e-6,95
06067005301,53.01,067,7.04575816285426e-4,873773.3847702142,4.100953136156485e-5,202
06067009608,96.08,067,3.91978235565439e-4,274136.3726827642,2.3870527621866984e-5,98
06067009108,91.08,067,5.9327750744725e-4,591288.5162182439,1.104842089144804e-4,19
06067005903,59.03,067,5.9327750744725e-4,591288.5162182439,2.569405552471467e-4,79
06067007903,79.03,067,5.9327750744725e-4,591288.5162182439,1.0017264379837137e-4,47
06067009109,91.09,067,5.638053596900557e-4,456782.8285002125,1.457354228551377e-4,43
06067007019,70.19,067,5.532753382184636e-4,471072.61758829304,2.5908966085336858e-5,149
06067005506,55.06,067,5.9327750744725e-4,591288.5162182439,1.1556254546257935e-5,146
06067007103,71.03,067,5.01854545456556e-4,493883.01897045545,7.070522828736179e-5,210
06067007104,71.04,067,4.475344413580651e-4,219091.5650406899,5.035007101153923e-5,120
06067003900,39,067,7.016138022024227e-4,206154.3164339065,2.1505364879377772e-5,163
06067004001,40.01,067,6.150582307089514e-4,438184.5980907704,4.832442834001892e-5,205
06067004004,40.04,067,5.367517620608188e-4,138019.5938890271,3.757127846489112e-5,124
06067004005,40.05,067,5.851724767544465e-4,350073.9504405569,7.533632231277853e-5,12
06067005402,54.02,067,6.382083486921196e-4,574844.55456097,4.6690469807009365e-5,136
06067005403,54.03,067,5.906008483823767e-4,352632.41870381514,1.7064529117451492e-4,115
06067007430,74.30,067,5.9327750744725e-4,591288.5162182439,1.6795631354191154e-5,44
06067005404,54.04,067,5.528056428124003e-4,327521.49518415227,5.453703477045456e-5,24
06067007431,74.31,067,5.9327750744725e-4,591288.5162182439,1.768486314440595e-4,43
06067007432,74.32,067,5.9327750744725e-4,591288.5162182439,2.324050312749607e-4,38
06067007433,74.33,067,5.9327750744725e-4,591288.5162182439,1.0848816634018034e-4,17
