GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US06067006101,6067006101,"Census Tract 61.01, Sacramento County, California",5018,1016,20.2
1400000US06067006102,6067006102,"Census Tract 61.02, Sacramento County, California",3569,771,21.6
1400000US06067006201,6067006201,"Census Tract 62.01, Sacramento County, California",6795,3283,48.3
1400000US06067006202,6067006202,"Census Tract 62.02, Sacramento County, California",3371,1292,38.3
1400000US06067006300,6067006300,"Census Tract 63, Sacramento County, California",5417,1861,34.4
1400000US06067006400,6067006400,"Census Tract 64, Sacramento County, California",5361,1574,29.4
1400000US06067006500,6067006500,"Census Tract 65, Sacramento County, California",6735,2603,38.6
1400000US06067006600,6067006600,"Census Tract 66, Sacramento County, California",6911,2523,36.5
1400000US06067006701,6067006701,"Census Tract 67.01, Sacramento County, California",8547,1962,23
1400000US06067006702,6067006702,"Census Tract 67.02, Sacramento County, California",6904,2826,40.9
1400000US06067006800,6067006800,"Census Tract 68, Sacramento County, California",7455,3338,44.8
1400000US06067006900,6067006900,"Census Tract 69, Sacramento County, California",4710,1735,36.8
1400000US06067007001,6067007001,"Census Tract 70.01, Sacramento County, California",4491,1552,34.6
1400000US06067007004,6067007004,"Census Tract 70.04, Sacramento County, California",7096,1546,21.8
1400000US06067007007,6067007007,"Census Tract 70.07, Sacramento County, California",5380,1474,27.4
1400000US06067007010,6067007010,"Census Tract 70.10, Sacramento County, California",3565,571,16
1400000US06067007011,6067007011,"Census Tract 70.11, Sacramento County, California",6685,1535,23
1400000US06067007012,6067007012,"Census Tract 70.12, Sacramento County, California",3211,676,21.1
1400000US06067007013,6067007013,"Census Tract 70.13, Sacramento County, California",3172,428,13.5
1400000US06067007014,6067007014,"Census Tract 70.14, Sacramento County, California",7479,1247,16.7
1400000US06067007015,6067007015,"Census Tract 70.15, Sacramento County, California",4923,997,20.3
1400000US06067007016,6067007016,"Census Tract 70.16, Sacramento County, California",6097,825,13.5
1400000US06067007017,6067007017,"Census Tract 70.17, Sacramento County, California",3206,286,8.9
1400000US06067007018,6067007018,"Census Tract 70.18, Sacramento County, California",5339,671,12.6
1400000US06067007019,6067007019,"Census Tract 70.19, Sacramento County, California",1028,368,35.8
1400000US06067007020,6067007020,"Census Tract 70.20, Sacramento County, California",4586,281,6.1
1400000US06067007101,6067007101,"Census Tract 71.01, Sacramento County, California",228,0,0
1400000US06067007102,6067007102,"Census Tract 71.02, Sacramento County, California",7874,368,4.7
1400000US06067007103,6067007103,"Census Tract 71.03, Sacramento County, California",4206,387,9.2
1400000US06067007104,6067007104,"Census Tract 71.04, Sacramento County, California",7988,238,3
1400000US06067007105,6067007105,"Census Tract 71.05, Sacramento County, California",7072,1563,22.1
1400000US06067007106,6067007106,"Census Tract 71.06, Sacramento County, California",8315,250,3
1400000US06067007107,6067007107,"Census Tract 71.07, Sacramento County, California",3389,153,4.5
1400000US06067007202,6067007202,"Census Tract 72.02, Sacramento County, California",3889,887,22.8
1400000US06067007204,6067007204,"Census Tract 72.04, Sacramento County, California",4662,543,11.6
1400000US06067007206,6067007206,"Census Tract 72.06, Sacramento County, California",4084,622,15.2
1400000US06067007207,6067007207,"Census Tract 72.07, Sacramento County, California",4174,584,14
1400000US06067007208,6067007208,"Census Tract 72.08, Sacramento County, California",4436,668,15.1
1400000US06067007209,6067007209,"Census Tract 72.09, Sacramento County, California",3572,724,20.3
1400000US06067007301,6067007301,"Census Tract 73.01, Sacramento County, California",4824,1610,33.4
1400000US06067007402,6067007402,"Census Tract 74.02, Sacramento County, California",6453,1603,24.8
1400000US06067007403,6067007403,"Census Tract 74.03, Sacramento County, California",5141,1290,25.1
1400000US06067007406,6067007406,"Census Tract 74.06, Sacramento County, California",8545,1933,22.6
1400000US06067007413,6067007413,"Census Tract 74.13, Sacramento County, California",6698,2149,32.1
1400000US06067007414,6067007414,"Census Tract 74.14, Sacramento County, California",4318,954,22.1
1400000US06067007415,6067007415,"Census Tract 74.15, Sacramento County, California",3221,585,18.2
1400000US06067007416,6067007416,"Census Tract 74.16, Sacramento County, California",4436,873,19.7
1400000US06067007417,6067007417,"Census Tract 74.17, Sacramento County, California",3341,277,8.3
1400000US06067007421,6067007421,"Census Tract 74.21, Sacramento County, California",9446,486,5.1
1400000US06067007422,6067007422,"Census Tract 74.22, Sacramento County, California",2526,650,25.7
1400000US06067007423,6067007423,"Census Tract 74.23, Sacramento County, California",5061,2165,42.8
1400000US06067007424,6067007424,"Census Tract 74.24, Sacramento County, California",3829,1294,33.8
1400000US06067007426,6067007426,"Census Tract 74.26, Sacramento County, California",2113,543,25.7
1400000US06067007427,6067007427,"Census Tract 74.27, Sacramento County, California",7269,1798,24.7
1400000US06067007428,6067007428,"Census Tract 74.28, Sacramento County, California",3529,509,14.4
1400000US06067007429,6067007429,"Census Tract 74.29, Sacramento County, California",5134,1306,25.4
1400000US06067007430,6067007430,"Census Tract 74.30, Sacramento County, California",8229,1300,15.8
1400000US06067007431,6067007431,"Census Tract 74.31, Sacramento County, California",3722,585,15.7
1400000US06067007432,6067007432,"Census Tract 74.32, Sacramento County, California",5300,801,15.1
1400000US06067007433,6067007433,"Census Tract 74.33, Sacramento County, California",8104,935,11.5
1400000US06067007501,6067007501,"Census Tract 75.01, Sacramento County, California",6250,1621,25.9
1400000US06067007503,6067007503,"Census Tract 75.03, Sacramento County, California",5188,1339,25.8
1400000US06067007504,6067007504,"Census Tract 75.04, Sacramento County, California",2139,491,23
1400000US06067007601,6067007601,"Census Tract 76.01, Sacramento County, California",6708,1057,15.8
1400000US06067007602,6067007602,"Census Tract 76.02, Sacramento County, California",4771,900,18.9
1400000US06067007701,6067007701,"Census Tract 77.01, Sacramento County, California",6110,1868,30.6
1400000US06067007702,6067007702,"Census Tract 77.02, Sacramento County, California",4247,512,12.1
1400000US06067007801,6067007801,"Census Tract 78.01, Sacramento County, California",5769,985,17.1
1400000US06067007802,6067007802,"Census Tract 78.02, Sacramento County, California",4710,521,11.1
1400000US06067007903,6067007903,"Census Tract 79.03, Sacramento County, California",4935,794,16.1
1400000US06067007904,6067007904,"Census Tract 79.04, Sacramento County, California",5228,474,9.1
1400000US06067007905,6067007905,"Census Tract 79.05, Sacramento County, California",4261,430,10.1
1400000US06067007906,6067007906,"Census Tract 79.06, Sacramento County, California",3583,298,8.3
1400000US06067008005,6067008005,"Census Tract 80.05, Sacramento County, California",4326,338,7.8
1400000US06067008006,6067008006,"Census Tract 80.06, Sacramento County, California",5501,431,7.8
1400000US06067008007,6067008007,"Census Tract 80.07, Sacramento County, California",3475,665,19.1
1400000US06067008008,6067008008,"Census Tract 80.08, Sacramento County, California",4818,516,10.7
1400000US06067008009,6067008009,"Census Tract 80.09, Sacramento County, California",4645,573,12.3
1400000US06067008010,6067008010,"Census Tract 80.10, Sacramento County, California",5226,861,16.5
1400000US06067008111,6067008111,"Census Tract 81.11, Sacramento County, California",6728,630,9.4
1400000US06067008113,6067008113,"Census Tract 81.13, Sacramento County, California",3777,535,14.2
1400000US06067008117,6067008117,"Census Tract 81.17, Sacramento County, California",2013,181,9
1400000US06067008119,6067008119,"Census Tract 81.19, Sacramento County, California",5420,832,15.4
1400000US06067008120,6067008120,"Census Tract 81.20, Sacramento County, California",4332,581,13.4
1400000US06067008122,6067008122,"Census Tract 81.22, Sacramento County, California",3597,355,9.9
1400000US06067008124,6067008124,"Census Tract 81.24, Sacramento County, California",4845,557,11.5
1400000US06067008125,6067008125,"Census Tract 81.25, Sacramento County, California",4978,491,9.9
1400000US06067008127,6067008127,"Census Tract 81.27, Sacramento County, California",5468,1455,26.6
1400000US06067008128,6067008128,"Census Tract 81.28, Sacramento County, California",2314,108,4.7
1400000US06067008129,6067008129,"Census Tract 81.29, Sacramento County, California",3492,707,20.2
1400000US06067008130,6067008130,"Census Tract 81.30, Sacramento County, California",3967,933,23.5
1400000US06067008131,6067008131,"Census Tract 81.31, Sacramento County, California",4888,691,14.1
1400000US06067008132,6067008132,"Census Tract 81.32, Sacramento County, California",3887,233,6
1400000US06067008133,6067008133,"Census Tract 81.33, Sacramento County, California",2930,784,26.8
1400000US06067008134,6067008134,"Census Tract 81.34, Sacramento County, California",4702,468,10
1400000US06067008135,6067008135,"Census Tract 81.35, Sacramento County, California",4360,762,17.5
1400000US06067008136,6067008136,"Census Tract 81.36, Sacramento County, California",2408,129,5.4
1400000US06067008137,6067008137,"Census Tract 81.37, Sacramento County, California",2562,480,18.7
1400000US06067008138,6067008138,"Census Tract 81.38, Sacramento County, California",3514,559,15.9
